,City,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
130,Iqaluit,20,CA,1554848525,77,63.75,-68.52,-16.0,9.8
131,Tromso,0,NO,1554846600,62,69.65,18.96,-6.0,3.1
132,Champerico,5,MX,1554846120,48,16.38,-93.6,30.0,10.3
133,Beaverlodge,75,CA,1554847200,32,55.21,-119.43,12.0,1.0
134,Saldanha,92,PT,1554849152,91,41.42,-6.55,6.61,4.87
135,Veraval,92,FR,1554849039,100,49.65,0.71,9.44,2.6
136,Klyuchi,0,RU,1554849152,60,52.25,79.17,0.16,3.87
137,Ceres,0,AR,1554848941,45,-29.88,-61.95,27.3,4.91
138,Mount Gambier,90,AU,1554847200,81,-37.83,140.78,10.0,2.1
139,Ereymentau,0,KZ,1554849153,77,51.62,73.1,-1.42,2.12
140,Shimoda,75,JP,1554849011,100,34.7,138.93,6.11,2.1
141,Meybod,40,IR,1554847200,42,32.25,54.02,17.0,3.1
142,Pisco,0,PE,1554847200,30,-13.71,-76.2,22.0,11.3
143,Tumkur,40,IN,1554847200,94,13.34,77.1,23.0,1.5
144,The Valley,40,AI,1554849061,69,18.22,-63.06,26.0,6.2
145,Santa Ana,20,SV,1554847251,58,13.99,-89.56,29.0,6.2
146,Beyneu,12,KZ,1554849155,73,45.32,55.19,6.91,1.22
147,Qaqortoq,75,GL,1554846600,36,60.72,-46.03,9.0,14.9
148,Laurentides,88,CA,1554849155,77,46.43,-74.98,-1.09,2.67
149,Kamaishi,64,JP,1554849155,51,39.28,141.86,6.96,0.77
150,Evensk,0,RU,1554849155,92,61.92,159.24,-1.29,2.82
151,Beloha,0,MG,1554849156,90,-25.17,45.06,20.56,1.32
152,Pecos,1,US,1554849140,6,31.42,-103.49,36.0,8.2
153,Puerto Ayora,75,EC,1554849054,66,-0.74,-90.35,30.0,4.1
154,Celestun,100,MX,1554849156,100,20.87,-90.4,25.16,6.47
155,Ambanja,48,MG,1554849156,94,-13.68,48.45,20.86,1.07
156,Lasa,20,CY,1554847200,67,34.92,32.53,17.0,4.6
157,Rome,20,IT,1554848944,87,41.89,12.48,12.22,1.5
158,Krasnaya Gora,75,RU,1554847200,93,53.01,31.6,9.0,2.0
159,Tura,48,IN,1554849157,95,25.52,90.21,17.01,2.07
160,Makakilo City,40,US,1554849128,48,21.35,-158.09,29.0,5.1
161,Sioux Lookout,90,CA,1554847680,79,50.1,-91.92,-4.0,5.1
162,Mega,32,ET,1554849157,82,4.06,38.32,17.59,0.92
163,Auki,12,NG,1554849158,54,12.18,6.51,27.26,3.62
164,La Rioja,0,AR,1554849158,72,-29.41,-66.86,19.76,2.97
165,Hit,32,IQ,1554849158,61,33.64,42.83,18.51,4.92
166,Danielskuil,12,ZA,1554849158,75,-28.19,23.54,11.61,3.47
167,Sandy Bay,75,AU,1554849135,66,-42.9,147.33,13.33,3.1
168,Venado Tuerto,0,AR,1554849094,22,-33.75,-61.97,21.67,1.79
169,Thompson,90,CA,1554847200,40,55.74,-97.86,1.0,3.1
170,Payakumbuh,48,ID,1554849159,92,-0.23,100.63,22.46,0.97
171,Anzio,20,IT,1554849131,87,41.45,12.63,12.22,1.5
172,Tasiilaq,92,GL,1554846600,47,65.61,-37.64,3.0,4.6
173,Vila,75,IT,1554849126,71,45.18,8.4,13.89,3.6
174,Itarema,88,BR,1554849160,95,-2.92,-39.92,25.31,2.22
175,Phan Thiet,64,VN,1554849160,98,10.93,108.1,26.31,2.27
176,Estelle,75,US,1554849133,29,32.87,-97.01,32.0,5.7
177,Akonolinga,32,CM,1554849161,91,3.77,12.24,23.26,1.42
178,Talakan,8,RU,1554849161,41,50.29,130.28,3.71,1.67
179,Ngunguru,0,NZ,1554847685,85,-35.62,174.5,18.33,2.68
180,Anadyr,0,RU,1554848551,77,64.73,177.51,-15.0,5.0
181,Belyy Yar,0,RU,1554847200,73,53.6,91.39,-4.0,2.0
182,Zheleznodorozhnyy,0,RU,1554848770,75,55.75,38.0,11.67,2.0
183,Nemuro,0,JP,1554849162,100,43.32,145.57,0.71,2.47
184,Tczew,40,PL,1554849111,74,54.09,18.8,1.11,2.6
185,Macamic,90,CA,1554847200,85,48.75,-79.0,0.0,3.1
186,Carsamba,75,TR,1554846600,51,41.2,36.72,16.0,4.1
187,Geraldton,75,CA,1554847200,60,49.72,-86.95,0.0,6.7
188,Bethel,90,US,1554846960,59,60.79,-161.76,3.0,3.6
189,Aklavik,75,CA,1554847200,60,68.22,-135.01,-12.0,2.1
190,Bandarbeyla,88,SO,1554849164,100,9.49,50.81,27.44,5.17
191,Codrington,90,AU,1554848861,77,-28.95,153.24,23.0,4.1
192,Saint-Joseph,0,FR,1554849124,93,43.56,6.97,12.0,1.5
193,Sitka,0,US,1554849119,25,37.17,-99.65,30.0,8.49
194,Yulara,0,AU,1554847200,40,-25.24,130.99,20.0,3.6
195,Pechora,0,RU,1554849165,75,65.12,57.16,-13.44,2.27
196,San Policarpo,92,PH,1554849165,97,12.18,125.51,26.66,4.67
197,Te Anau,92,NZ,1554849166,100,-45.41,167.72,10.44,2.02
198,Fort-Shevchenko,76,KZ,1554849166,97,44.51,50.26,8.34,3.17
199,Padang,76,ID,1554849166,100,-0.92,100.36,25.69,1.92
200,Kavieng,8,PG,1554849166,100,-2.57,150.8,28.81,2.07
201,Kwidzyn,88,PL,1554849111,69,53.73,18.93,2.78,1.62
202,Wanning,20,AT,1554849166,62,48.64,13.53,11.67,3.6
203,Whitehorse,75,CA,1554849004,38,60.72,-135.06,6.67,4.6
204,Henties Bay,68,NA,1554847323,94,-22.12,14.28,13.89,0.89
205,Abashiri,12,JP,1554849068,80,44.01,144.25,-0.57,0.89
206,Sibolga,36,ID,1554849168,99,1.74,98.78,21.21,0.92
207,Sao Filipe,0,CV,1554849168,95,14.9,-24.5,22.06,7.62
208,Tayu,75,JP,1554848966,87,35.06,136.67,8.33,5.7
209,Chokurdakh,76,RU,1554849168,98,70.62,147.9,-7.74,6.32
210,Ayna,40,ES,1554849011,81,38.55,-2.07,8.0,5.7
211,Maihar,0,IN,1554849168,62,24.26,80.76,17.96,1.62
212,Dingle,20,PH,1554849169,75,11.0,122.67,28.11,2.97
213,Vradiyivka,12,UA,1554849169,70,47.86,30.59,9.06,3.47
214,Luderitz,44,NA,1554849169,91,-26.65,15.16,12.76,3.27
215,Harnosand,88,SE,1554848812,54,62.63,17.94,-0.57,5.1
216,Pemba,76,MZ,1554849170,100,-12.97,40.52,27.09,3.92
217,Lashio,0,MM,1554849170,89,22.93,97.75,16.09,0.97
218,Yashkul,0,RU,1554849170,75,46.17,45.34,7.76,3.57
219,Hualmay,32,PE,1554849170,86,-11.1,-77.61,20.16,2.72
220,Mitsamiouli,44,KM,1554849170,98,-11.38,43.28,28.26,3.97
221,Atuona,48,PF,1554849170,100,-9.8,-139.03,28.59,2.82
222,Baltiysk,90,RU,1554847200,69,54.66,19.91,2.0,3.0
223,Berlevag,20,NO,1554844800,79,70.86,29.09,-4.0,3.6
224,Makat,0,KZ,1554849171,69,47.65,53.35,8.71,3.62
225,Arlit,0,NE,1554849171,21,18.74,7.39,18.11,0.87
226,Miri,20,NG,1554849171,53,10.31,9.75,25.06,2.62
227,Norman Wells,75,CA,1554843600,62,65.28,-126.83,-5.0,4.6
228,Hengshui,8,CN,1554849172,77,37.73,115.7,6.51,3.57
229,Huesca,56,ES,1554849016,81,42.14,-0.41,10.0,4.1
230,Nome,1,US,1554849157,27,30.04,-94.42,32.78,1.67
231,Mulino,0,IT,1554849153,81,44.49,11.05,12.22,2.1
232,Hanmer Springs,20,NZ,1554849173,64,-42.52,172.83,18.34,4.77
233,Fort Nelson,40,CA,1554847200,25,58.81,-122.69,12.0,2.1
234,Ancud,90,CL,1554847200,87,-41.87,-73.83,13.0,2.1
235,Robertsport,32,LR,1554849173,99,6.75,-11.37,27.84,3.47
236,Khatanga,36,RU,1554849173,79,71.98,102.47,-17.09,3.92
237,Vangaindrano,24,MG,1554849174,87,-23.35,47.6,21.31,1.32
238,Victoria,90,BN,1554847200,94,5.28,115.24,27.0,0.5
239,Baherden,0,TM,1554849174,91,38.44,57.43,10.31,0.77
240,Dalaba,76,GN,1554849174,64,10.69,-12.25,23.61,1.17
241,Lupiro,92,TZ,1554849174,96,-8.39,36.67,21.69,1.37
242,Bodri,0,IN,1554849175,79,23.17,81.43,17.56,1.22
243,Sibu,75,MY,1554847200,100,2.29,111.83,25.0,1.62
244,Liku,32,ID,1554849175,89,-0.73,119.89,27.91,1.32
245,Beringovskiy,80,RU,1554849175,100,63.05,179.32,-10.49,5.62
246,Esperance,20,TT,1554849087,65,10.24,-61.45,28.0,6.2
247,Atar,0,MR,1554849176,25,20.52,-13.05,18.81,3.17
248,Lubana,92,CD,1554849176,100,0.23,29.1,16.51,0.87
249,Winslow,90,GB,1554849163,86,51.94,-0.88,7.22,4.6
250,Saint George,75,GR,1554846600,93,39.45,22.34,12.0,1.77
251,Faanui,56,PF,1554849176,100,-16.48,-151.75,28.59,2.67
252,Tigil,8,RU,1554849177,100,57.8,158.67,-3.32,1.67
253,Husavik,8,CA,1554849019,66,50.56,-96.99,-1.67,2.68
254,Mangrol,8,IN,1554849177,65,25.33,76.51,20.71,1.62
255,Kerema,8,PG,1554849177,69,-7.96,145.78,27.96,0.32
256,Lagoa,0,PT,1554849152,82,37.14,-8.45,13.33,3.1
257,Lebedinyy,68,RU,1554849178,64,58.52,125.52,-2.67,2.32
258,Nouadhibou,0,MR,1554847200,77,20.93,-17.03,18.0,7.7
259,Altamira,40,BR,1554843600,83,-3.2,-52.21,27.0,1.0
260,Vao,92,EE,1554849178,98,59.1,26.19,1.19,2.57
261,Aripuana,24,BR,1554849010,95,-9.17,-60.63,24.61,0.82
262,Port Hardy,90,CA,1554847200,87,50.7,-127.42,8.0,1.5
263,Manzhouli,20,CN,1554849179,44,49.6,117.43,0.76,2.02
264,Touros,40,BR,1554847200,83,-5.2,-35.46,27.0,3.1
265,Misratah,8,LY,1554849179,86,32.38,15.09,15.11,5.72
266,Penzance,88,GB,1554848286,93,50.12,-5.53,10.56,3.92
267,Kloulklubed,75,PW,1554846600,88,7.04,134.26,27.0,5.92
268,Severomuysk,0,RU,1554849180,78,56.17,113.57,-10.29,0.92
269,Liwale,88,TZ,1554849180,97,-9.8,37.92,21.71,1.22
270,Hamilton,75,BM,1554849051,78,32.3,-64.78,22.0,6.7
271,Inuvik,90,CA,1554847200,65,68.36,-133.71,-12.0,2.1
272,Juneau,90,US,1554846960,70,58.3,-134.42,7.0,7.2
273,Qeshm,48,IR,1554847200,73,26.96,56.27,27.0,3.1
274,Pochutla,40,MX,1554849070,40,15.74,-96.47,32.0,5.1
275,Walvis Bay,68,NA,1554847323,87,-22.95,14.51,13.89,1.5
276,Nanortalik,0,GL,1554849182,82,60.14,-45.24,2.41,21.52
277,Chilca,20,PE,1554847200,37,-13.22,-72.34,19.0,5.1
278,Partizanskoye,48,UA,1554849182,91,44.83,34.08,8.34,1.27
279,Flinders,20,AU,1554849141,50,-34.58,150.85,18.33,2.6
280,Vila Franca do Campo,20,PT,1554849175,82,37.72,-25.43,16.0,5.7
281,Zajecar,92,RS,1554849183,97,43.9,22.28,8.56,1.17
282,Roebourne,88,AU,1554849250,59,-20.77,117.15,28.96,1.97
283,Marsa Matruh,0,EG,1554847200,82,31.35,27.25,13.0,1.51
284,Chumikan,36,RU,1554849250,61,54.72,135.31,2.46,1.67
285,Nuuk,20,GL,1554848525,64,64.17,-51.74,4.0,6.2
286,Maningrida,0,AU,1554849250,95,-12.05,134.23,28.31,5.62
287,Nurota,12,UZ,1554847200,93,40.56,65.69,13.0,5.1
288,Dwarka,20,IN,1554848107,65,28.58,77.04,32.78,0.57
289,Privas,0,FR,1554849167,81,44.74,4.6,12.0,1.0
290,Cockburn Town,8,TC,1554849251,96,21.46,-71.14,26.26,9.32
291,Yumen,0,CN,1554849251,60,40.29,97.04,-4.17,2.82
292,Bambanglipuro,24,ID,1554849251,99,-7.95,110.28,24.34,1.82
293,Wurselen,0,DE,1554849232,66,50.82,6.13,11.67,3.1
294,Kichmengskiy Gorodok,92,RU,1554849252,97,59.99,45.81,3.51,3.12
295,Alofi,80,NU,1554849252,95,-19.06,-169.92,28.31,3.97
296,Kyabram,0,AU,1554849030,72,-36.31,145.05,11.67,3.13
297,Takoradi,8,GH,1554849252,97,4.89,-1.75,27.41,3.02
298,Port Elizabeth,90,US,1554849225,93,39.31,-74.98,22.0,4.1
299,Dryden,90,CA,1554847680,79,49.79,-92.84,-5.0,5.1
300,Gimli,8,CA,1554849019,66,50.63,-96.99,-1.67,2.68
301,North Bend,20,US,1554849105,71,43.41,-124.22,12.22,5.7
302,Gazli,20,UZ,1554849254,86,40.13,63.45,10.61,1.32
303,Fortuna,0,ES,1554849217,51,38.18,-1.13,15.0,3.6
304,Gazojak,20,TM,1554849254,75,41.19,61.4,8.41,0.57
305,Abonnema,40,NG,1554847200,88,4.71,6.79,28.0,2.07
306,Cedar City,1,US,1554848204,22,37.68,-113.06,19.0,14.9
307,Abay,0,KZ,1554847200,92,49.63,72.87,-4.0,3.0
308,Aberdeen,75,US,1554849040,69,45.47,-98.49,4.0,7.2
309,Basco,1,US,1554849110,28,40.33,-91.2,21.67,3.1
310,Sidi Ali,48,DZ,1554849256,73,36.1,0.42,12.79,5.27
311,Magrath,90,CA,1554849128,34,49.42,-112.86,12.22,5.1
312,Waitati,92,NZ,1554849201,58,-45.75,170.57,18.89,2.68
313,Pedasi,8,PA,1554849256,95,7.53,-80.03,26.61,4.22
314,General Roca,0,AR,1554847200,29,-39.03,-67.58,25.0,1.5
315,Margate,75,AU,1554849255,66,-43.03,147.26,13.33,3.1
316,Hinganghat,0,IN,1554847200,24,20.55,78.84,27.0,1.42
317,Ola,44,RU,1554849257,100,59.58,151.3,-2.92,1.87
318,Copiapo,40,CL,1554847200,72,-27.37,-70.33,16.0,6.7
319,Sagua la Grande,75,CU,1554846600,65,22.81,-80.07,28.0,4.1
320,Nyurba,76,RU,1554849258,86,63.29,118.35,-2.42,3.22
321,Charyshskoye,0,RU,1554849258,71,51.4,83.56,-4.72,1.12
322,Conde,24,BR,1554849258,91,-11.81,-37.61,26.56,2.87
323,Ulaangom,0,MN,1554849259,48,49.98,92.07,-15.07,0.87
324,Valdez,75,US,1554846960,75,61.13,-146.35,6.0,0.52
325,Okhotsk,0,RU,1554849259,76,59.36,143.24,0.41,1.12
326,Malpe,20,IN,1554847200,78,13.35,74.72,27.0,2.1
327,Bintulu,75,MY,1554847200,94,3.17,113.03,26.0,2.1
328,Egvekinot,20,RU,1554848999,82,66.32,-179.17,-16.6,1.41
329,Koroni,75,GR,1554849046,93,36.8,21.96,12.22,10.97
330,Kalmunai,56,LK,1554849260,98,7.42,81.82,24.69,1.27
331,Kruisfontein,8,ZA,1554849260,81,-34.0,24.73,17.54,5.47
332,Grindavik,90,IS,1554848518,95,63.84,-22.43,5.56,7.2
333,Rawson,36,AR,1554849260,38,-43.3,-65.11,19.46,4.87
334,Mbulu,24,TZ,1554849261,98,-3.86,35.54,17.94,2.42
335,Jumla,0,NP,1554849261,74,29.28,82.18,-1.69,1.12
336,Thinadhoo,12,MV,1554849261,100,0.53,72.93,28.91,1.52
337,Camacha,20,PT,1554847200,67,33.08,-16.33,16.0,4.1
338,Tashtyp,0,RU,1554849261,63,52.8,89.89,-7.14,0.97
339,Malaya Serdoba,80,RU,1554849262,92,52.47,44.96,1.59,3.77
340,Gat,0,SN,1554847200,47,14.69,-16.54,24.0,8.7
341,Opuwo,0,NA,1554849262,67,-18.06,13.84,16.21,1.77
342,Turukhansk,64,RU,1554849262,88,65.8,87.96,-10.74,9.32
343,Marawi,0,PH,1554849101,92,8.0,124.29,25.56,0.89
344,Aberystwyth,24,GB,1554849086,65,52.41,-4.08,6.67,4.47
345,Taulov,0,DK,1554849260,80,55.54,9.61,1.11,2.1
346,Puerto Leguizamo,32,CO,1554849263,62,-0.19,-74.78,30.34,0.77
347,Kajaani,0,FI,1554846600,58,64.22,27.73,-3.0,8.2
348,Vostok,68,RU,1554849264,56,46.45,135.83,3.59,1.32
349,Aljezur,68,PT,1554849152,78,37.31,-8.8,13.33,6.57
350,Ohara,75,JP,1554849233,93,35.12,135.83,7.78,6.7
351,Joshimath,0,IN,1554849265,90,30.57,79.57,-13.74,0.57
352,Montepuez,92,MZ,1554849265,83,-13.13,39.0,24.26,4.22
353,Sarakhs,80,TM,1554847200,93,36.54,61.16,14.0,1.0
354,Nishihara,90,JP,1554849224,93,35.74,139.53,8.33,2.1
355,Sabha,0,LY,1554849265,40,27.03,14.43,12.21,1.52
356,Mapiripan,56,CO,1554849266,83,2.89,-72.13,25.69,0.92
357,Rembang,32,ID,1554849179,100,-6.71,111.35,27.09,2.07
358,Barcelos,40,PT,1554849216,87,41.53,-8.62,12.0,4.6
359,Ayolas,0,PY,1554849266,80,-27.39,-56.84,22.09,2.07
360,Najran,0,SA,1554847200,37,17.54,44.22,28.0,5.1
361,Lorengau,20,PG,1554849267,92,-2.02,147.27,29.56,2.42
362,San Rafael,0,AR,1554849268,32,-34.61,-68.33,16.91,3.02
363,Mount Pleasant,1,US,1554849221,23,33.16,-94.97,30.0,1.42
364,Cabedelo,75,BR,1554847200,78,-6.97,-34.84,28.0,2.6
365,Pacific Grove,1,US,1554849110,62,36.62,-121.92,21.0,10.3
366,Adrar,0,DZ,1554847200,16,27.87,-0.29,21.0,4.1
367,Meulaboh,44,ID,1554849269,100,4.14,96.13,26.01,2.52
368,Dvinskoy,92,RU,1554849269,96,62.16,45.12,1.79,2.77
369,Lac-Megantic,90,CA,1554849124,83,45.58,-70.88,0.0,5.1
370,Mayahi,0,NE,1554849270,64,13.95,7.67,24.51,1.12
371,Samarai,64,PG,1554849270,97,-10.62,150.67,28.46,4.82
372,Seoul,90,KR,1554847800,93,37.57,126.98,6.0,0.5
373,Changji,92,CN,1554849270,84,32.07,116.17,7.59,3.12
374,Bambous Virieux,75,MU,1554847200,88,-20.34,57.76,24.0,4.6
